team,split_type,match_id,side,split_value,touches,touches_opp_box,passes_attempted,passes_completed,open_play_passes,passes_forward,passes_backward,passes_sideways,passes_opp_half,passes_own_half,crosses_attempted,crosses_completed,crosses_all,crosses_all_completed,long_passes_attempted,long_passes_completed,through_balls,passes_final_third,passes_final_third_completed,passes_into_final_third,progressive_passes,passes_outside_own_third,corners,chances_created,assists,shots,shots_on_target,shots_off_target,shots_blocked,shots_in_box,shots_outside_box,shots_on_target_in_box,shots_on_target_outside_box,goals,goals_in_box,goals_outside_box,goals_from_shots,own_goals,own_goals_in_box,own_goals_outside_box,take_ons,take_ons_won,aerials,aerials_won,ground_duels,ground_duels_won,duels_contested,duels_won,smothers,tackles,interceptions,clearances,ball_recoveries,blocked_passes,pressing_actions,recovery_actions,pressing_actions_outside_own_third,missed_tackles,fouls_committed,fouls_won,possession_lost,sequences,sequence_passes,sequence_seconds,sequence_progress_m,sequence_length_m,sequence_start_x_m,build_up_attacks,direct_attacks,high_turnovers,high_turnover_shots,sequence_pressed,shot_ending_sequences
Chelsea,time_block,1983561,for,61-75,59,5,27,18,25,12,3,12,8,10,0,0,2,1,3,1,0,5,4,1,3,16,1,3,2,4,2,1,1,2,2,0,2,1,0,1,1,1,1,0,3,2,4,2,9,5,13,7,0,2,0,8,3,0,5,11,1,3,0,1,12,28.0,32.0,50.0,161.49,295.2577699512736,1302.945,0.0,0.0,5.0,2.0,8.0,4.0
Chelsea,time_block,1983561,for,76+,73,1,38,22,29,23,5,10,9,13,0,0,0,0,15,4,0,6,4,5,3,17,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,4,13,8,19,12,0,4,2,12,4,1,9,16,3,0,2,4,21,29.0,41.0,81.0,172.305,452.32601100636543,872.025,0.0,0.0,3.0,0.0,10.0,1.0
Chelsea,game_state,1983561,against,-2 or worse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,game_state,1983561,against,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,game_state,1983561,against,Level,39,0,30,26,30,13,8,9,11,15,1,0,1,0,4,3,0,5,4,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,3,1,0,0,0,1,0,2,2,1,0,0,0,0,4,7.0,32.0,106.0,19.32,616.0141516039976,303.87,0.0,0.0,1.0,0.0,1.0,0.0
Chelsea,game_state,1983561,against,+1,156,5,120,110,117,55,30,35,48,62,8,0,10,0,7,6,1,26,21,13,16,83,2,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,6,3,3,1,12,4,15,5,0,1,0,2,8,3,9,10,8,3,2,0,15,35.0,135.0,316.0,572.775,1916.2580044576969,1964.97,0.0,0.0,12.0,2.0,1.0,2.0
Chelsea,game_state,1983561,against,+2 or better,625,22,497,431,487,213,112,172,199,232,14,5,20,7,54,27,3,96,74,35,57,383,5,8,7,13,5,7,1,12,1,5,0,3,3,0,2,0,0,0,4,3,26,13,39,17,65,30,0,8,5,11,30,2,28,41,20,3,10,6,81,139.0,541.0,1291.0,1245.72,7696.819978485687,7267.68,2.0,0.0,32.0,7.0,20.0,13.0
Chelsea,game_state,1983561,for,-2 or worse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,game_state,1983561,for,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,game_state,1983561,for,Level,25,6,17,12,17,5,1,11,8,4,0,0,1,1,1,0,0,11,8,0,2,12,1,1,1,2,1,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,2,2,1,0,3,2,0,0,0,1,2,1,2,3,1,1,0,0,5,9.0,18.0,34.0,82.635,158.45726689109082,596.715,1.0,1.0,4.0,2.0,3.0,2.0
Chelsea,game_state,1983561,for,+1,82,7,42,28,38,17,4,21,12,16,1,0,3,1,7,2,0,7,6,2,3,24,1,4,3,4,2,1,1,3,1,1,1,2,1,1,2,0,0,0,4,3,3,2,12,8,15,10,0,3,0,9,7,3,9,16,1,3,0,2,18,36.0,48.0,94.0,292.53000000000003,531.0815029073545,1600.62,0.0,0.0,5.0,2.0,10.0,4.0
